desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Slarang,-7.659593,109.113482,2.582,5.5,ok_azure
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Slarang,-7.659593,109.113482,2.582,5.5,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.098,3.7667,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.098,3.7667,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.098,3.7667,ok_azure
Desa Bumireja,-7.536534,108.806366,Balai Desa Cisumur,-7.532618723,108.8210025,2.061,3.0667,ok_azure
Desa Slarang,-7.659267,109.113899,Balai Desa Kalisabuk,-7.658169,109.098666,2.491,4.7167,ok_azure
Desa Nusawungu,-7.648797,109.345277,Balai Desa Klumprit,-7.661985721,109.3585673,2.106,3.0,ok_azure
Desa Bojong,-7.608174,108.926794,Balai Desa Kawunganten,-7.592701,108.91958,2.073,3.3833,ok_azure
Desa Sidamulya,-7.488885,108.804955,Balai Desa Sidareja,-7.482720383,108.7920794,2.07,5.0333,ok_azure
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Mulyasari,-7.316016450227107,108.7710207218418,1.093,1.95,ok_azure
Desa Purwasari,-7.384291,108.870808,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,4.424,8.1667,ok_azure
Desa Mujur,-7.612107,109.253601,Balai Desa Bajing,-7.627507087,109.2517692,2.202,5.1667,ok_azure
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.15,3.9833,ok_azure
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.15,3.9833,ok_azure
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.15,3.9833,ok_azure
Desa Ciklapa,-7.506692,108.810952,Balai Desa Sudagaran,-7.4901238,108.8095576,3.399,7.5667,ok_azure
Desa Klumprit,-7.661907,109.35874,Balai Desa Nusawungu,-7.64816393,109.3441551,2.244,3.25,ok_azure
Desa Kutasari,-7.392746,108.817824,Balai Desa Kutasari,-7.394689384,108.8031922,3.442,10.7833,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Kedungreja,-7.504965751,108.7808289,1.961,4.9333,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.319,5.0333,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.319,5.0333,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.319,5.0333,ok_azure
