desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.05,0.805,2.77,2.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.05,0.978,2.74,3.0,ok_ors
Desa Pesanggrahan,-7.594099,109.115168,Balai Desa Pucung Lor,-7.586622826,109.1134249,1.08,1.075,2.69,1.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.09,1.087,1.98,1.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.09,1.086,2.57,2.0,ok_ors
Kelurahan Cilacap,-7.738098,109.014295,Balai Desa Kaliwungu,-7.735575683,109.0175999,1.11,1.108,1.82,1.0,ok_ors
Kelurahan Cilacap,-7.738098,109.014295,Balai Desa Kaliwungu,-7.735575683,109.0175999,1.11,1.407,2.31,2.0,ok_ors
Desa Karangsembung,-7.679916,109.363203,Balai Desa Karangsembung,-7.678502548,109.3554419,1.11,1.115,2.67,1.0,ok_ors
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,1.11,1.111,1.74,1.0,ok_ors
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,1.11,0.939,1.8,2.0,ok_ors
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,1.11,0.935,2.22,3.0,ok_ors
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten Lor,-7.58543,108.919056,1.12,1.116,1.72,1.0,ok_ors
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten Lor,-7.58543,108.919056,1.12,1.023,1.73,2.0,ok_ors
Desa Serang,-7.446416,108.788571,Balai Desa Segaralangu,-7.442669141,108.7829382,1.12,1.121,1.97,1.0,ok_ors
Desa Karangrena,-7.606723,109.133039,Balai Desa Karangrena,-7.607614387,109.1286205,1.16,1.156,2.31,1.0,ok_ors
Desa Padangjaya,-7.312664,108.785827,Balai Desa Cilopadang,-7.304095476590585,108.7902956932206,1.18,1.176,1.56,1.0,ok_ors
Desa Mekarsari,-7.400061,108.745623,Balai Desa Cisuru,-7.398928326,108.7365499,1.18,1.179,2.51,1.0,ok_ors
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan,-7.307873,108.580217,1.18,1.184,3.67,1.0,ok_ors
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan,-7.307873,108.580217,1.18,1.955,4.69,2.0,ok_ors
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.19,1.192,2.38,1.0,ok_ors
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.19,1.352,2.7,2.0,ok_ors
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.19,1.426,2.85,3.0,ok_ors
